size,cap,iter,ms
# cvvdp-gpu capped-pyramid perf comparison
# git commit: master @ 220b6250 (zensim-acumen) + worktree wip (this commit)
# hardware: water-cooled AMD Ryzen 9 7950X, RTX-class GPU via cubecl-cuda
# backend: CudaRuntime
# build: cargo run --release -p cvvdp-gpu --features cubecl-types,cuda --example cap_perf_compare
# iter 0 contains cold compile + autotune cost; iter 1/2 are steady-state.
# 24mp_square cap8 iter 1 (1512ms) is a one-time runtime retune outlier — iter 2 confirms steady state.
12mp_synth,uncapped,0,218.14
12mp_synth,uncapped,1,61.54
12mp_synth,uncapped,2,24.41
12mp_synth,cap8,0,185.28
12mp_synth,cap8,1,25.34
12mp_synth,cap8,2,25.55
12mp_synth,cap6,0,179.77
12mp_synth,cap6,1,26.25
12mp_synth,cap6,2,26.93
panorama_1024x8192,uncapped,0,103.31
panorama_1024x8192,uncapped,1,18.16
panorama_1024x8192,uncapped,2,18.20
panorama_1024x8192,cap8,0,76.90
panorama_1024x8192,cap8,1,18.14
panorama_1024x8192,cap8,2,17.78
panorama_1024x8192,cap6,0,111.54
panorama_1024x8192,cap6,1,18.17
panorama_1024x8192,cap6,2,20.99
24mp_square,uncapped,0,65.66
24mp_square,uncapped,1,54.92
24mp_square,uncapped,2,46.31
24mp_square,cap8,0,52.28
24mp_square,cap8,1,1512.64
24mp_square,cap8,2,66.90
24mp_square,cap6,0,105.38
24mp_square,cap6,1,149.66
24mp_square,cap6,2,73.15
